id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17951,"West Seattle, The Starlight Studio",33360,Laura,West Seattle,Fairmount Park,47.55538,-122.38622,Entire home/apt,105,2,93,2019-02-17,0.87,7,336
19619,Lively Vacation Home in Seattle with Puget Sound Views,74305,Seattle Oasis,Downtown,Belltown,47.61362,-122.34706,Entire home/apt,145,2,84,2019-03-03,0.81,43,85
20868,"Newly Remodeled ""Boho Modern"" in Mapleleaf",35749,Jess & Joey,Northgate,Maple Leaf,47.69539,-122.31307,Entire home/apt,199,2,124,2019-02-21,1.17,5,141
20927,Cottage in the Heart of Ballard,79450,Brad / Liz,Ballard,Adams,47.67334,-122.39512,Entire home/apt,89,2,509,2019-03-07,4.81,2,103
20928,Victorian in the Heart of Ballard,79450,Brad / Liz,Ballard,Adams,47.67361,-122.3938,Private room,79,2,284,2019-03-03,6.20,2,143
23192,Large Modern Unit - 3 blocks from the light-rail,90437,Ian,Capitol Hill,Broadway,47.62237,-122.31592,Entire home/apt,200,3,101,2019-02-25,1.44,4,154
23356,Near by Downtown Seattle 2000 Sq Ft 3bed  2bath,91286,Tonyhai,Beacon Hill,Holly Park,47.53419,-122.28139,Entire home/apt,189,1,19,2018-08-20,0.20,1,351
24212,Stylish Oasis in a Prime Location in Belltown,74305,Seattle Oasis,Downtown,Belltown,47.6154,-122.34866,Entire home/apt,157,1,79,2018-12-02,0.78,43,123
25002,"Beautiful, Private Spot in Quiet Ballard",102684,Amanda,Ballard,Whittier Heights,47.67941,-122.37054,Entire home/apt,70,2,705,2019-03-04,6.52,1,121
26116,2-bedroom Capitol Hill Pied-à-terre,110248,Jamilah,Capitol Hill,Broadway,47.61743,-122.32676,Entire home/apt,259,2,143,2016-09-24,1.39,1,358
26795,Lake Union Cottage - Shore and Cityview,114228,Kelly,Cascade,Eastlake,47.63953,-122.32838,Entire home/apt,165,3,59,2018-07-18,0.57,1,357
30712,Cozy Ballard Apartment,107605,Al,Ballard,Loyal Heights,47.6789,-122.38186,Entire home/apt,75,4,86,2019-01-05,0.81,1,346
37234,Your Home Away From Home.  Private Parking onsite.,160789,Darrell,Ballard,Loyal Heights,47.68805,-122.39231,Entire home/apt,85,3,3,2018-09-30,0.11,2,353
38545,"en-suite, fireplace,chef kitchen. no car needed!",165390,Seth,Other neighborhoods,Wallingford,47.65263,-122.34222,Entire home/apt,225,10,94,2019-01-02,0.93,7,67
41401,Home Away From Home - MIL Suite    ,180441,Pina,Beacon Hill,Mid-Beacon Hill,47.56035,-122.31402,Entire home/apt,95,10,28,2017-05-06,0.27,1,69
43373,Big sunny central house with view!,189356,Michael,Other neighborhoods,Wallingford,47.65055,-122.33059,Private room,55,2,235,2019-02-18,2.25,1,288
47491,Tranquil Rooms at Maple Creek House,215230,Carol,Other neighborhoods,Wedgwood,47.69246,-122.28688,Private room,50,3,44,2018-12-22,0.43,3,73
48848,green suite seattle - dog friendly,212404,Piper + Kent,Other neighborhoods,Windermere,47.67159,-122.25995,Entire home/apt,110,2,39,2018-10-23,0.38,2,208
50233,Highly Desirable 2-bdrm BAMBOO Suite!,230140,Marie,West Seattle,Genesee,47.56643,-122.38084,Entire home/apt,249,1,29,2018-03-12,0.31,2,0
58503,Spacious Private Daylight Basement Apartment,157262,Gus & Chelsea,Other neighborhoods,Phinney Ridge,47.67947,-122.3566,Entire home/apt,75,2,222,2019-03-03,4.10,1,285
63733,Seattle- Ballard Guestsuite -,311363,Irmgard,Ballard,West Woodland,47.67171,-122.36589,Entire home/apt,76,3,217,2019-02-18,2.26,1,261
66540,Large Tranquil Room in Wedgwood,215230,Carol,Other neighborhoods,Wedgwood,47.69421,-122.28625,Private room,50,3,25,2018-10-05,0.25,3,104
66611,Study Den in Tranquil Setting,215230,Carol,Other neighborhoods,Wedgwood,47.69282,-122.28534,Private room,45,3,25,2019-01-28,0.25,3,275
67270,"Light and airy, steps to the Lake.",331573,Jean,Seward Park,Seward Park,47.56168,-122.27212,Private room,70,2,178,2018-09-05,1.83,1,342
