id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
58503,Spacious Private Daylight Basement Apartment,157262,Gus & Chelsea,Other neighborhoods,Phinney Ridge,47.67947,-122.3566,Entire home/apt,75,2,226,2019-03-31,4.08,1,281
63733,Seattle- Ballard Guestsuite -,311363,Irmgard,Ballard,West Woodland,47.67171,-122.36589,Entire home/apt,76,3,220,2019-04-02,2.26,1,263
66540,Large Tranquil Room in Wedgwood,215230,Carol,Other neighborhoods,Wedgwood,47.69421,-122.28625,Private room,50,3,25,2018-10-05,0.25,3,66
66611,Study Den in Tranquil Setting,215230,Carol,Other neighborhoods,Wedgwood,47.69282,-122.28534,Private room,45,3,26,2019-03-31,0.26,3,269
67270,"Light and airy, steps to the Lake.",331573,Jean,Seward Park,Seward Park,47.56168,-122.27212,Private room,70,2,178,2018-09-05,1.80,1,365
77149,Central quiet Capitol Hill condo,412854,Goldie,Capitol Hill,Broadway,47.62585,-122.32004,Entire home/apt,110,5,15,2016-09-24,0.15,1,0
86185,West Seattle: Admiral calm & quiet,192355,Jane,West Seattle,North Admiral,47.58239,-122.39448,Private room,75,2,63,2018-10-12,0.65,1,360
103920,Green Lake Spacious Two Bedrooms - Walk to Lake!,541406,Trung,Other neighborhoods,Green Lake,47.68416,-122.32597,Entire home/apt,250,2,19,2018-09-24,0.24,1,43
107884,West Seattle/Alki Beach House,331494,Anne,West Seattle,North Admiral,47.58,-122.40204,Entire home/apt,79,2,123,2019-04-01,1.28,1,188
107962,Haller Lake Restored Log Cabin,112093,Roberta & Dan,Northgate,Haller Lake,47.71489,-122.33296,Entire home/apt,120,2,224,2019-04-11,2.36,1,177
108765,Beacon Hill Cottage in the City,541908,Mary,Beacon Hill,Mid-Beacon Hill,47.55257,-122.30435,Entire home/apt,130,2,58,2019-03-19,0.61,1,294
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65437,-122.35745,Entire home/apt,120,17,40,2019-03-10,0.42,1,68
117165,Suite+Office in Gorgeous View Home,559827,Judith,West Seattle,Alki,47.56874,-122.40649,Private room,120,2,129,2019-03-26,1.38,2,275
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65231,-122.35,Entire home/apt,79,3,357,2019-04-08,3.74,2,308
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.66923,-122.33517,Entire home/apt,110,2,97,2019-04-10,1.02,1,247
132160,"Green Lake Guest Suite, private apt",558743,Natalie,Other neighborhoods,Green Lake,47.68226,-122.34345,Entire home/apt,150,3,256,2019-04-10,2.73,2,141
134091,Vintage Capitol Hill - 1 Pkg Spot,658155,Joe,Capitol Hill,Broadway,47.62142,-122.31642,Entire home/apt,170,3,158,2019-04-14,1.70,15,73
136480,Bright Cheery Room in Seattle House,539515,Shari,Seward Park,Seward Park,47.55508,-122.26455,Private room,85,2,56,2018-08-07,0.80,2,337
140331,Metrobilly Retreat,683617,Jana,Central Area,Harrison/Denny-Blaine,47.61894,-122.29212,Private room,75,1,141,2019-03-01,1.48,1,227
143580,N. Beacon Hill- Super Private Room,594315,Jana,Beacon Hill,North Beacon Hill,47.58379,-122.31677,Private room,89,2,354,2019-04-13,3.72,1,298
143704,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",696788,Julie,Central Area,Mann,47.61231,-122.29825,Entire home/apt,68,3,350,2019-03-20,3.69,1,314
151545,Seattle 2 BR + Extra Bonus Bed On Portage Bay!,306615,Tara,Capitol Hill,Portage Bay,47.65008,-122.31931,Entire home/apt,249,2,16,2018-12-31,0.17,3,210
158345,Restful Room in W. Ballard-NO cleaning fee!,759949,Marcia,Ballard,Sunset Hill,47.66992,-122.40146,Private room,60,2,418,2019-03-31,4.45,1,297
162563,Quiet Clean and safe neighborhood,776719,Desmond,Central Area,Minor,47.61294,-122.31264,Private room,90,2,9,2018-08-11,0.89,1,65
