id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
192666,"Classy,Private, Comfy! W Seattle-A Place To Relax!",933468,Vidya,West Seattle,North Admiral,47.58216,-122.39387,Private room,59,1,84,2019-05-19,2.13,2,92
193836,Spacious Suite Near Lincoln Park in West Seattle,583579,Amy,West Seattle,Gatewood,47.5357,-122.38631,Entire home/apt,89,1,167,2019-06-10,1.75,1,317
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.6777,-122.35984,Entire home/apt,245,28,22,2018-08-31,0.37,1,327
202260,Cozy Seattle Apartment Near UW & Children's,990195,Kerry,Other neighborhoods,View Ridge,47.68004,-122.28398,Entire home/apt,99,30,143,2016-08-01,1.51,1,0
208670,2BR/1BA Quiet Capitol Hill Bungalow w/Loft,1022302,David,Capitol Hill,Broadway,47.62163,-122.31693,Entire home/apt,212,2,131,2017-08-31,1.47,1,0
210316,"""THE 5-STAR HOUSE""  # 9",2438665,Flor,Other neighborhoods,Crown Hill,47.6999,-122.36614,Private room,95,3,69,2019-04-26,1.13,4,313
215882,Relaxing Garden Cottage w/ Hot Tub!,971336,Julie,Rainier Valley,Columbia City,47.5613,-122.28122,Entire home/apt,80,2,353,2019-06-12,3.81,1,53
217142,LOCATION! Family SPACIOUS 2BD/2BA PRKG FREE WiFi,8243075,Lori,Downtown,Belltown,47.61534,-122.34791,Entire home/apt,200,2,144,2019-05-27,1.55,4,241
218741,"Private, Large Room+Bath in Ballard",468703,Corinne & Tom,Ballard,Loyal Heights,47.68231,-122.37875,Private room,90,1,131,2018-08-18,1.54,2,134
219532,"Fun home in Funky Fremont, Seattle",1037115,Rose And Glen,Other neighborhoods,Fremont,47.65692,-122.36093,Entire home/apt,275,3,76,2018-08-25,0.88,6,115
222885,Gluten Free on Phinney Ridge,72845,Judith,Other neighborhoods,Phinney Ridge,47.67575,-122.35739,Private room,75,2,30,2018-11-12,0.32,2,133
224763,"Location! Sleeps 4 WiFi  Luxurious, Parking Inc!",8243075,Lori,Downtown,Belltown,47.61386,-122.34879,Entire home/apt,139,1,96,2019-05-27,1.07,4,289
225820,Family Friendly on Phinney Ridge,72845,Judith,Other neighborhoods,Phinney Ridge,47.67781,-122.35862,Private room,90,2,83,2018-10-21,1.10,2,140
226495,"Fun apartment in Ballard, Seattle",1037115,Rose And Glen,Ballard,Whittier Heights,47.68966,-122.36839,Entire home/apt,170,3,84,2019-05-30,0.97,6,343
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.6612,-122.40145,Private room,46,1,172,2019-06-06,1.86,2,322
226677,Sunny Parisian beauty room w/ comfy bed,30559,Angielena,Other neighborhoods,Georgetown,47.54969,-122.31868,Private room,55,2,139,2019-05-29,1.50,7,301
227636,Large Ballard/Fremont apartment,1187351,Michael,Ballard,West Woodland,47.66807,-122.36209,Entire home/apt,120,2,221,2019-06-03,2.39,1,24
229990,Alki Beach 1/2 block to beach,1201633,Wayne,West Seattle,Alki,47.57823,-122.41181,Entire home/apt,160,1,5,2019-06-07,0.42,1,279
231097,Peaceful NE Seattle guest room,990692,Paul,Lake City,Matthews Beach,47.70639,-122.28075,Private room,54,3,146,2019-06-04,1.56,1,344
233502,West Seattle room with private bath,1215564,Danielle,West Seattle,North Admiral,47.57327,-122.37436,Private room,60,1,1,2012-06-06,0.01,1,163
