id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30821427,Cozy Suite in the Heart of Queen Anne,229095817,Loftium,Queen Anne,North Queen Anne,47.64042,-122.35703,Entire home/apt,90,1,46,2019-08-10,5.90,76,72
30824934,Huge and comfortable bedroom in Seattle Craftsman,11697992,Bryan,Other neighborhoods,Fremont,47.65755,-122.35464,Private room,95,2,8,2019-07-14,1.17,3,156
30826817,Seattle craftsman gem in walkable neighborhood,124169110,Nicole,Other neighborhoods,Greenwood,47.68686,-122.35841,Entire home/apt,250,2,1,2019-01-28,0.15,1,0
30852761,Adorable private bedroom with private bathroom,11697992,Bryan,Other neighborhoods,Fremont,47.65632,-122.35673,Private room,95,2,8,2019-07-13,1.05,3,156
30859809,Ground floor private bed/bath in Ballard,230715390,Sean,Ballard,Whittier Heights,47.67726,-122.37472,Private room,100,1,6,2019-05-01,1.15,1,141
30866340,Sleek Urban Townhouse - 3bed/2.5bath Seattle!,5325329,Blair,Queen Anne,East Queen Anne,47.6314,-122.34604,Entire home/apt,200,1,57,2019-08-12,7.13,13,98
30874441,Lovely Laurelhurst - Music Room & Sunny Yard,140236800,TurnKey Vacation Rentals,Other neighborhoods,Laurelhurst,47.66212,-122.27632,Entire home/apt,241,2,1,2019-07-12,0.79,52,279
30881658,2 BR Modern Townhouse in Central Capitol Hill,113921410,Sebastian,Central Area,Minor,47.61102,-122.31332,Entire home/apt,75,1,4,2019-02-24,0.52,1,0
30887522,Captivating Views of Seattle from a Sleek Townhouse,230838662,Jenny,Beacon Hill,North Beacon Hill,47.5824,-122.3158,Entire home/apt,175,3,29,2019-08-13,3.83,1,108
30915295,3 Bedrooms in walkable Wallingford,56004960,Andrew,Other neighborhoods,Wallingford,47.66609,-122.33555,Entire home/apt,102,2,0,,,5,137
30916586,Gorgeous Queen Anne Townhouse - Rooftop Deck!,11983260,Mahnaz,Queen Anne,West Queen Anne,47.63934,-122.37392,Entire home/apt,159,2,38,2019-08-11,4.69,1,72
30934689,Gorgeous views in North Beach / Ballard,20865218,Carly,Other neighborhoods,North Beach/Blue Ridge,47.69869,-122.39615,Entire home/apt,180,1,18,2019-08-11,2.35,1,171
30935352,Greenwood Townhome,210184109,Chris,Other neighborhoods,Greenwood,47.6955,-122.34996,Entire home/apt,75,2,7,2019-01-26,0.88,1,0
30937250,Cozy clean room in West Seattle,37286729,John,West Seattle,Arbor Heights,47.50514,-122.37509,Private room,45,2,0,,,1,321
30937435,"Parlour House, Unique 2,500sqft Studio",9851441,Emily,Interbay,Interbay,47.62679,-122.36869,Entire home/apt,300,2,1,2018-12-26,0.13,1,90
30939362,"Modern, Private Room near Lightrail, Downtown",31116549,Amy,Beacon Hill,North Beacon Hill,47.58615,-122.31696,Private room,59,1,35,2019-08-15,5.05,1,88
30939784,Ideal Ballard Location,54070659,Bob,Ballard,West Woodland,47.67321,-122.3743,Entire home/apt,128,2,13,2019-08-14,3.68,1,151
30943968,Modern | Spacious| 1 bedroom | High Rise XX | KF,50550045,Day 1,Downtown,First Hill,47.61021,-122.33107,Entire home/apt,179,2,0,,,181,40
30952709,Walking to Pike P. Market! And hub to cruises!,226137890,Xenia,Downtown,Belltown,47.61213,-122.34924,Entire home/apt,105,1,31,2019-08-02,4.10,10,237
30960947,Spectacular Views from a Retro-Inspired Home,231340748,Alice,Other neighborhoods,Wallingford,47.65283,-122.32997,Entire home/apt,150,1,33,2019-08-13,4.30,2,311
30963639,★Happy House★1300 sqft +Parking+0.3 mi to Link,25207661,Thao,Rainier Valley,Dunlap,47.52175,-122.27337,Entire home/apt,100,2,35,2019-08-06,4.41,2,338
30964021,Awesome 1BR Apartment in Seattle,48005494,Zeus,Cascade,Westlake,47.63011,-122.34286,Entire home/apt,132,30,0,,,156,310
30966290,Greenlake Entire Townhouse w/ Private Backyard,226766146,Bella,Northgate,North College Park,47.69391,-122.34366,Entire home/apt,100,7,1,2018-12-21,0.12,1,320
30982022,2 Beds&Bath Free Parking& LR STA Airport DT UW(中文),215426444,Emily,Rainier Valley,Columbia City,47.57562,-122.29796,Private room,10,1,16,2019-05-28,2.18,6,0
30994069,"Elegant  Private Garden Apartment, Capitol Hill",230457966,Trudy,Capitol Hill,Broadway,47.62175,-122.32611,Entire home/apt,150,3,29,2019-08-14,3.78,1,281
30998202,2BR in South Lake Union,48005494,Zeus,Cascade,South Lake Union,47.62467,-122.33634,Entire home/apt,158,30,1,2019-04-30,0.27,156,210
30998418,Beautiful 1BR Apartment in Seattle,48005494,Zeus,Cascade,South Lake Union,47.62321,-122.33635,Entire home/apt,149,30,0,,,156,359
31002479,Lakeview Craftsman-4bed/2bath- Perfect location!,5325329,Blair,Cascade,Westlake,47.63742,-122.34347,Entire home/apt,325,1,52,2019-07-31,7.16,13,108
31018519,Central location luxury apt in South Lake Union,22864774,Anna,Cascade,South Lake Union,47.62669,-122.34217,Entire home/apt,149,3,3,2019-07-21,0.86,1,25
31021112,The Forest Room -Private room,75343272,Dario,University District,University District,47.67128,-122.31549,Private room,35,1,20,2019-07-21,2.64,5,3
31022118,The Summer Room -Private room,75343272,Dario,University District,University District,47.66987,-122.3141,Private room,35,1,13,2019-07-05,1.70,5,1
31022262,The Creative Suite room with Private bathroom,75343272,Dario,University District,University District,47.67053,-122.31384,Private room,39,1,14,2019-07-31,1.91,5,3
31022477,The Woodland Loft - Loft With Private bathroom,75343272,Dario,University District,University District,47.6707,-122.31528,Private room,39,1,24,2019-07-29,3.53,5,2
31026273,Hamburg room in Greenlake,93908277,Paema,Other neighborhoods,Phinney Ridge,47.68259,-122.34863,Private room,65,3,13,2019-08-01,1.86,2,0
31040215,"Scenic, Sophisticated Studio - a Minimalist Dream!",231340748,Alice,Other neighborhoods,Wallingford,47.65154,-122.33053,Entire home/apt,99,1,41,2019-08-13,6.99,2,320
31043835,Stunning Water Views apt Min to Pike Place!,226137890,Xenia,Downtown,Belltown,47.6115,-122.34868,Entire home/apt,199,1,32,2019-08-10,4.57,10,239
31044786,Lovely floating home with great hosts,209703197,Dennis,Capitol Hill,Portage Bay,47.65061,-122.32046,Private room,70,1,4,2019-02-22,0.59,1,226
31061583,Private Retreat in Mt Baker Neighborhood,9081556,Aaron,Rainier Valley,Mount Baker,47.57447,-122.29268,Private room,55,2,19,2019-08-16,4.45,1,0
31076382,Creative Living Space in Industrial Townhouse,19680877,Stephen,Other neighborhoods,Georgetown,47.54737,-122.32106,Private room,110,2,2,2019-03-01,0.30,1,136
31091766,New 2BR Townhouse with Rooftop Deck and Parking,27821253,Yosuke,Central Area,Minor,47.61572,-122.30843,Entire home/apt,200,2,19,2019-07-28,3.63,1,38
31093186,Modern | Spacious| 1 bedroom | High Rise 1 | KD,50550045,Day 1,Downtown,First Hill,47.60932,-122.33054,Entire home/apt,130,2,0,,,181,229
31093440,Across from Swedish Hosp 1BR Extended Stay,50550045,Day 1,Downtown,First Hill,47.60942,-122.32834,Entire home/apt,120,7,0,,,181,196
